feature,gain,pct_of_total_gain,cum_pct
v86,542.3355786800385,0.07818084496232547,94.6447395016346
v234,535.5537128448486,0.07720319934536866,94.72194270097997
txn_count_24h,530.6272671222687,0.07649302338717368,94.79843572436714
v163,521.7828664779663,0.0752180513168555,94.87365377568399
v251,520.6282668113708,0.0750516090234191,94.94870538470741
v282,517.2900414466858,0.07457038431689895,95.02327576902431
v274,513.3369617462158,0.07400052476252793,95.09727629378683
v96,507.28250789642334,0.07312773983679205,95.17040403362363
v47,502.7968535423279,0.07248110653188211,95.24288514015551
v287,489.8807713985443,0.07061917776434398,95.31350431791985
v139,483.34630727767944,0.06967719655118332,95.38318151447103
v306,477.6568808555603,0.06885703246363656,95.45203854693467
v164,465.79612946510315,0.06714723579521424,95.51918578272989
v37,458.1541724205017,0.06604560300105597,95.58523138573095
v69,449.8024981021881,0.06484166031183564,95.65007304604279
v52,435.1363286972046,0.06272744623199802,95.7128004922748
m8,430.781619310379,0.062099689409817915,95.77490018168461
v129,428.28166675567627,0.06173930663063887,95.83663948831526
id_11,424.87164092063904,0.061247731466465734,95.89788721978172
v5,423.3950185775757,0.06103486772119585,95.95892208750291
v33,400.93241691589355,0.057796752342085686,96.016718839845
v204,397.0657708644867,0.05723935270364601,96.07395819254864
v94,393.6798529624939,0.05675125283899186,96.13070944538764
v271,391.5583791732788,0.05644542998700428,96.18715487537465
v81,390.96014308929443,0.05635919075732533,96.24351406613197
v79,388.53437995910645,0.056009502817511145,96.29952356894948
d7,382.4705910682678,0.055135372191022027,96.3546589411405
id_04,379.2533416748047,0.05467158687815788,96.40933052801866
v324,366.61135959625244,0.052849171237817065,96.46217969925648
v321,361.98784017562866,0.05218266387740407,96.51436236313388
id_32,357.33914518356323,0.051512527311154147,96.56587489044504
v124,346.5772695541382,0.04996114000933692,96.61583603045437
v270,341.52997279167175,0.04923354266706843,96.66506957312144
v26,339.1667137145996,0.048892865052002014,96.71396243817344
v145,335.20085167884827,0.04832116284925575,96.7622836010227
v277,326.45866775512695,0.0470609259169194,96.80934452693963
c3,319.0304503440857,0.04599010494077672,96.8553346318804
v263,318.9014835357666,0.045971513621226895,96.90130614550162
txn_count_1h,316.8222417831421,0.04567177876426477,96.94697792426588
v205,316.61530017852783,0.04564194692187305,96.99261987118776
v42,313.5770480632782,0.04520396511334611,97.0378238363011
v200,302.1919445991516,0.04356273587484534,97.08138657217594
v272,298.9689793586731,0.04309812658921064,97.12448469876516
v150,295.2949297428131,0.042568490853158544,97.16705318961831
v256,294.27688908576965,0.04242173433947495,97.20947492395779
v231,292.24250411987305,0.042128465850618746,97.25160338980841
v161,291.99405431747437,0.04209265035879812,97.2936960401672
device_type,288.1577024459839,0.041539617803537945,97.33523565797074
v34,279.36305809020996,0.04027181839315997,97.37550747636391
v279,275.5430700778961,0.03972114478388743,97.41522862114779
v166,270.04413080215454,0.03892844053236048,97.45415706168015
c7,268.8468198776245,0.03875584116133966,97.49291290284148
v222,262.19062852859497,0.03779631225644172,97.53070921509793
v224,261.1939733028412,0.03765263857772938,97.56836185367565
v268,253.2353732585907,0.03650535984360859,97.60486721351926
account_key_tier,253.15804600715637,0.03649421266814489,97.6413614261874
v151,251.7014980316162,0.036284242760337905,97.67764566894773
v126,246.04604029655457,0.03546897545766166,97.7131146444054
v7,245.25984811782837,0.035355641257856465,97.74847028566325
id_07,244.5581886768341,0.035254492946498704,97.78372477860974
m7,239.75766825675964,0.03456246985700536,97.81828724846675
v292,238.84533071517944,0.03443095106551248,97.85271819953226
v4,238.3908178806305,0.034365430382658255,97.88708362991493
v316,237.91232109069824,0.03429645227238986,97.92138008218731
v10,232.56371331214905,0.03352541918524338,97.95490550137255
v137,231.33659982681274,0.033348523600812516,97.98825402497336
v171,225.7238359451294,0.03253941086675213,98.0207934358401
v203,224.66961693763733,0.032387439032299244,98.05318087487241
v23,218.09625911712646,0.03143985106490454,98.08462072593731
v159,215.46771144866943,0.03106093054812066,98.11568165648544
v221,205.63328981399536,0.029643241162914023,98.14532489764835
v336,200.71050119400024,0.028933592397441456,98.17425849004579
v43,199.94910097122192,0.02882383210305658,98.20308232214884
v331,195.94750452041626,0.028246978575424013,98.23132930072427
v169,191.14578795433044,0.0275547830544887,98.25888408377875
v207,189.48663997650146,0.027315607171652642,98.28619969095041
v2,188.30318975448608,0.027145005901949477,98.31334469685235
v326,186.26963806152344,0.02685185753425925,98.34019655438661
id_24,184.30835962295532,0.02656912777880629,98.36676568216541
v216,183.81398844718933,0.026497861282994844,98.3932635434484
v141,177.61755990982056,0.02560460987585092,98.41886815332425
id_08,176.59571051597595,0.025457304310485932,98.44432545763475
v219,173.49422192573547,0.025010206594315135,98.46933566422906
v46,172.86639785766602,0.024919702083715224,98.49425536631279
v225,172.6834692955017,0.024893331861808417,98.51914869817459
v59,172.39203453063965,0.024851319836295054,98.54400001801089
v206,169.04201245307922,0.02436839456463288,98.56836841257552
v208,165.2906413078308,0.02382761247798347,98.59219602505351
v300,164.2107973098755,0.023671946651313724,98.61586797170483
v162,163.21163415908813,0.023527911440542757,98.63939588314537
v298,161.18064641952515,0.023235132681727753,98.6626310158271
id_16,159.52473068237305,0.022996422745285724,98.68562743857238
v288,158.21862125396729,0.022808139433734324,98.70843557800612
v134,158.16093015670776,0.022799822924716915,98.73123540093083
v178,157.1661992073059,0.02265642664169287,98.75389182757252
v319,153.74138879776,0.022162720194651833,98.77605454776717
v290,153.6885004043579,0.022155096023479183,98.79820964379066
v295,153.5191786289215,0.022130687299444594,98.8203403310901
v217,151.42393922805786,0.0218286462879429,98.84216897737804
v215,147.63483095169067,0.021282424173175656,98.86345140155122
id_37,144.94252920150757,0.02089431313271035,98.88434571468393
id_21,142.81119775772095,0.020587069242173867,98.9049327839261
v6,141.4719114303589,0.02039400328663671,98.92532678721274
v278,140.1746506690979,0.02020699556219662,98.94553378277493
v115,136.65700006484985,0.019699905658208238,98.96523368843314
v229,133.1248791217804,0.01919072977026375,98.9844244182034
v57,131.82132959365845,0.01900281548330722,99.00342723368671
v132,131.81697916984558,0.019002188344275587,99.02242942203098
v332,121.79519009590149,0.01755748884707111,99.03998691087806
is_degraded_key,120.08869934082031,0.01731148822605828,99.05729839910411
v135,119.97433996200562,0.01729500265288814,99.074593401757
v280,117.58628988265991,0.01695075126987913,99.09154415302687
v142,117.26745796203613,0.016904789784158433,99.10844894281104
v265,113.68376064300537,0.016388178860027375,99.12483712167106
v293,112.13363075256348,0.01616471857196908,99.14100184024304
v301,110.51611971855164,0.015931544898055393,99.15693338514109
v93,110.50913143157959,0.015930537495624515,99.17286392263671
v170,108.48718976974487,0.01563906278181079,99.18850298541852
v260,104.20725107192993,0.015022084591671548,99.2035250700102
v3,104.07803058624268,0.015003456703045726,99.21852852671324
v140,103.30898261070251,0.014892593940380165,99.23342112065362
v25,103.30636024475098,0.014892215910994022,99.2483133365646
v233,100.64880037307739,0.014509113115468248,99.26282244968007
v230,99.9362907409668,0.014406400685614804,99.27722885036569
v214,95.5704095363617,0.013777033380574807,99.29100588374627
v85,94.56106901168823,0.013631531041846182,99.30463741478812
v338,94.36000108718872,0.013602545924789225,99.3182399607129
v211,92.62170028686523,0.01335195969974616,99.33159192041265
v218,91.75419020652771,0.013226903048919027,99.34481882346157
v108,90.03951025009155,0.012979721906644695,99.35779854536821
v210,84.30642032623291,0.012153263470000807,99.36995180883821
v40,83.76603984832764,0.012075364464247573,99.38202717330246
v303,83.754150390625,0.01207365052939639,99.39410082383186
v228,81.48863983154297,0.01174706393478059,99.40584788776664
v180,81.02597951889038,0.011680368745315521,99.41752825651196
v109,80.09341955184937,0.011545934772942266,99.4290741912849
v11,77.20457053184509,0.01112949029422632,99.44020368157912
v105,76.73034763336182,0.011061128290401786,99.45126480986953
v16,76.71977972984314,0.01105960486531398,99.46232441473484
v182,74.65129947662354,0.010761421341418713,99.47308583607625
v18,73.93695092201233,0.010658443820133742,99.48374427989638
v80,73.20448017120361,0.01055285387829775,99.49429713377468
v276,72.40944027900696,0.010438244228858981,99.50473537800355
v212,71.8671293258667,0.010360066933812213,99.51509544493736
v190,68.39090943336487,0.009858949509187236,99.52495439444655
v51,67.82965087890625,0.009778040806614737,99.53473243525316
v334,67.54560089111328,0.009737093339898204,99.54446952859305
v239,67.13770008087158,0.009678292052910672,99.55414782064597
v235,65.07689094543457,0.00938121436550046,99.56352903501147
v232,64.59409952163696,0.0093116171586476,99.57284065217011
v97,62.30188035964966,0.008981180362745023,99.58182183253285
v286,61.79837989807129,0.008908597827000413,99.59073043035986
v248,61.61581087112427,0.008882279434197553,99.59961270979406
v179,61.166959285736084,0.008817574853513883,99.60843028464757
v335,60.9146785736084,0.008781207113654654,99.61721149176122
v273,60.666340351104736,0.008745407706728353,99.62595689946795
id_25,59.823620319366455,0.008623924686366071,99.63458082415431
v50,59.722370624542236,0.008609328950801754,99.64319015310511
v123,57.971150398254395,0.008356880314959863,99.65154703342007
v60,57.917969942092896,0.008349214041232612,99.6598962474613
v339,57.53551959991455,0.008294081588037478,99.66819032904934
v253,56.766979455947876,0.008183292032262767,99.6763736210816
v299,56.448368072509766,0.00813736233826697,99.68451098341986
id_36,53.54616022109985,0.007718992105888423,99.69222997552575
v238,53.540339946746826,0.007718153079306505,99.69994812860506
v275,53.4166693687439,0.0077003252423263465,99.70764845384738
v304,53.03032064437866,0.007644630814543266,99.71529308466192
v72,52.882689237594604,0.007623348883983877,99.7229164335459
v64,52.38196063041687,0.007551165927259477,99.73046759947316
v337,52.27885127067566,0.007536302110123025,99.73800390158328
v84,51.93773913383484,0.007487128800951558,99.74549103038423
v202,51.81376934051514,0.00746925783033383,99.75296028821457
id_23,51.150829792022705,0.007373691217893937,99.76033397943246
v148,50.184431076049805,0.0072343791919907965,99.76756835862444
v192,50.06823992729187,0.007217629558472104,99.77478598818291
v147,48.741259813308716,0.00702633761555384,99.78181232579847
v144,47.89011096954346,0.006903639532650573,99.78871596533112
v220,46.67595100402832,0.006728611273847358,99.79544457660496
id_26,46.22239947319031,0.006663229168544265,99.8021078057735
v154,43.79154062271118,0.006312806650853006,99.80842061242436
v168,43.39379072189331,0.006255468676816145,99.81467608110117
id_15,42.89478063583374,0.006183533454959943,99.82085961455613
v103,42.12366032600403,0.006072371953188611,99.82693198650932
v243,41.83329963684082,0.006030514761967869,99.8329625012713
v100,41.4824800491333,0.005979942066989858,99.83894244333828
v95,40.0573296546936,0.005774498304095185,99.84471694164237
v112,39.48433017730713,0.0056918970788278405,99.85040883872121
v284,37.372129917144775,0.005387411060279977,99.85579624978149
v15,36.589499950408936,0.005274590374163157,99.86107084015565
id_10,33.221880197525024,0.004789128294701077,99.86585996845035
v125,33.03640007972717,0.0047623902511295295,99.87062235870148
v110,30.9271297454834,0.004458326598535508,99.87508068530002
v31,30.433500289916992,0.004387167026028016,99.87946785232604
v242,30.254779815673828,0.004361403424601746,99.88382925575064
v8,30.00892972946167,0.004325962697071187,99.88815521844771
v9,29.19246006011963,0.004208263819946752,99.89236348226765
v213,27.581649780273438,0.0039760560989285584,99.89633953836659
v198,27.00529956817627,0.003892971845659318,99.90023251021225
v73,26.65849018096924,0.003842977244533014,99.90407548745678
v183,26.476219177246094,0.00381670181352056,99.9078921892703
v172,26.178860664367676,0.003773835845091646,99.9116660251154
v101,25.31029963493347,0.0036486276938068212,99.9153146528092
v193,24.438779830932617,0.0035229930178668437,99.91883764582707
v146,24.20890998840332,0.003489855935907299,99.92232750176298
v17,23.824270248413086,0.0034344078682151244,99.92576190963119
v63,23.285130262374878,0.0033566876866182776,99.92911859731781
v21,22.613890171051025,0.003259924502391989,99.9323785218202
v121,22.002469539642334,0.003171784643105473,99.9355503064633
v175,21.901700496673584,0.003157258196316723,99.93870756465961
v176,21.80666971206665,0.0031435589530251695,99.94185112361264
v186,21.40628957748413,0.003085841815410899,99.94493696542804
v227,19.824040412902832,0.0028577513461686445,99.94779471677421
v199,19.535969495773315,0.002816224238975951,99.95061094101318
v226,18.574499130249023,0.002677622663608401,99.9532885636768
v330,18.015589714050293,0.0025970526030525986,99.95588561627984
v252,17.524799346923828,0.0025263023017452336,99.95841191858159
v32,17.047030448913574,0.0024574291213537297,99.96086934770294
v185,16.903130054473877,0.0024366850380407954,99.96330603274097
v167,16.01207971572876,0.002308234921313051,99.96561426766229
